Canonical Pathways,1vsAll,2vsAll,3vsAll,4vsAll,5vsAll,6vsAll
MyD88 cascade initiated on plasma membrane,0,0,0,1.342,1.667,0
MyD88 dependent cascade initiated on endosome,0,0,0,1.89,1.732,0
MyD88:MAL(TIRAP) cascade initiated on plasma membrane,0,0,-1,2.668,1.698,0
MyD88-independent TLR4 cascade,0,0,0,1.897,2.84,0
Myelination Signaling Pathway,3.024,-1,4.41,1.238,0.101,-4.33
Myogenesis,0,0,0,0.905,0.333,0
Myo-inositol Biosynthesis,0,0,0,0,0,0
NAD Signaling Pathway,2.333,-1,0.5,0.48,2.401,-0.535
NAFLD Signaling Pathway,1.147,-0.333,2,0.943,0.132,-3.413
Natural Killer Cell Signaling,3.273,0,1.347,2.462,0.14,-4.619
NCAM signaling for neurite out-growth,3.5,0,3.606,-1.091,-2.132,-3.051
Necroptosis Signaling Pathway,2.646,-2,2.324,1.333,0.48,-2.524
Neddylation,0.905,0,2.668,0.75,2.689,-0.333
Netrin Signaling,1.387,1,2.4,1.155,1.206,-1.964
Netrin-1 signaling,2.236,0,0.816,0.535,-0.277,-3.162
Neuregulin Signaling,-1,0,1.342,1.964,2.524,-1.941
Neurexins and neuroligins,1.89,0,1.265,-0.229,-0.655,0
Neuroinflammation Signaling Pathway,3.889,-2.714,0,4.096,2.101,-3.812
Neuropathic Pain Signaling in Dorsal Horn Neurons,2.887,0,1,2.197,1.177,-2.84
Neurotransmitter release cycle,0,0,2.333,0.277,-0.258,-1
Neurotransmitter uptake and metabolism In glial cells,0,0,0,0,0,0
Neurotrophin/TRK Signaling,0.447,0,0.632,2.683,2.6,-1.508
Neurovascular Coupling Signaling Pathway,4.49,-3.051,1,2.54,0.816,-3.128
Neutrophil degranulation,7.5,-3.207,1.905,8.056,-1.026,-7.506
Neutrophil Extracellular Trap Signaling Pathway,2.023,-1.387,-0.944,1.473,1.207,-2.216
NF-κB Activation by Viruses,2.828,0,0,3.657,2.353,-3.153
NGF Signaling,2.449,0,1.155,1.029,1.206,-2.683
NGF-stimulated transcription,-1,0,3.464,0.577,0.378,0
Nitric Oxide Signaling in the Cardiovascular System,2.887,0,-0.229,3.087,1.732,-1.387
NLR signaling pathways,2,0,2.449,1.043,0,-2.496
nNOS Signaling in Neurons,0,0,0,-0.447,-0.447,0
nNOS Signaling in Skeletal Muscle Cells,0,0,0,0,0,0
NOD1/2 Signaling Pathway,2,-1.414,2.132,1.234,0.493,-3.922
Non-Small Cell Lung Cancer Signaling,2.236,0,-0.707,3.441,2.524,-1.732
Noradrenaline and Adrenaline Degradation,0,0,0,1.342,0,-0.378
Notch Signaling,0,0,0.378,0,0,0
NR1H2 and NR1H3-mediated signaling,0,0,1.134,0,-1.069,0
NRF2-mediated Oxidative Stress Response,1.342,0,2.111,1.512,0.894,0
Nucleotide catabolism,0,0,0,-0.302,0.707,-1
OAS antiviral response,0,0,0,2,0,0
Oleate Biosynthesis II (Animals),0,0,-1.342,0,0,0
O-linked glycosylation,4.472,-2.646,3.545,-0.354,-0.186,-3.051
Oncostatin M Signaling,0,0,1.342,1.604,1.387,-1.667
Opioid Signaling Pathway,2.6,0,0.5,2.621,1.912,-1.461
Opioid Signalling,2.828,0,0.816,3.413,0.539,-2.333
Orexin Signaling Pathway,3.13,0.333,2.263,0.688,1.152,-2.746
Osteoarthritis Pathway,3.606,-0.378,1.667,1.109,-1.021,-3.411
Other interleukin signaling,2,0,2.236,-0.447,-2.449,-2
Ovarian Cancer Signaling,2.236,0,1.807,1.8,1,-2.138
Oxidative Phosphorylation,0,2.236,3,-5.048,-1.291,2.236
Oxytocin in Brain Signaling Pathway,2.711,0,2.191,1.89,1.05,-1.134
Oxytocin in Spinal Neurons Signaling Pathway,0,0,-0.447,0.832,0.535,0
Oxytocin Signaling Pathway,2.982,-0.535,4.143,2.269,0.816,-2.887
P2Y Purigenic Receptor Signaling Pathway,1.732,0,1.291,2.03,0.822,-2.683
p38 MAPK Signaling,2.236,0,1.387,0.962,1.091,-2.138
p53 Signaling,0,0,1.5,-0.816,-0.577,0.632
p75 NTR receptor-mediated signalling,3.051,0,3.207,-1.414,-1.616,-2.673
PAK Signaling,3,-1,1.147,2.121,1.976,-2.5
Pancreatic Adenocarcinoma Signaling,2.449,0,1.291,1.732,0,-3
Pancreatic Secretion Signaling Pathway,3.128,0,4.003,0.768,0.124,-3.528
Parkinson's Signaling,0,0,0,0,0,0
Pathogen Induced Cytokine Storm Signaling Pathway,5.774,-2.138,3.862,4.271,-0.508,-6.862
Pathogenesis of Multiple Sclerosis,0,0,0,0,0,0
Paxillin Signaling,2.646,0,0.535,1.961,2.2,-2.496
PCP (Planar Cell Polarity) Pathway,0,0,3.207,-0.302,0.832,-2.111
"PD-1, PD-L1 cancer immunotherapy pathway",-2.121,0,0.333,-1.225,-0.688,2.524
PDGF Signaling,1.134,0,1.155,1.414,2.646,-2.5
PEDF Signaling,1.342,0,0.302,1.8,1.347,-2.138
Peptide hormone biosynthesis,0,0,0,0,0,0
PFKFB4 Signaling Pathway,1.342,0,0,1.604,0.577,-1.633
Phagosome Formation,10.302,-2.502,2.074,7.133,0.889,-8.224
Phase I - Functionalization of compounds,0,2,0.905,1.091,-0.535,1.604
Phase II - Conjugation of compounds,0,0,-1.134,2.711,1.732,2.121
Phospholipases,3,0,1.633,0.535,-1.069,-2.121
PI Metabolism,2,0,0,1.569,1.732,-1.667
PI3K Cascade,0,0,1,0.728,1.732,0
PI3K/AKT Signaling,2.449,0,-0.302,2.832,2.082,-1.069
PIP3 activates AKT signaling,1.265,-1,1.342,2.021,2,-2.5
"Plasma lipoprotein assembly, remodeling, and clearance",2.449,0.447,0.277,-0.186,-1.225,1.414
Platelet Adhesion to exposed collagen,2.449,0,1.633,1.633,0,0
Platelet Aggregation (Plug Formation),2.449,0,2.121,0,-2,-2
Platelet homeostasis,3.464,0,0.832,1.372,0.756,-3.464
Polyamine Regulation in Colon Cancer,0,0,2.449,-0.832,-1,0
Post-translational protein phosphorylation,1.807,-2,3.411,0.539,-2.043,-2.668
Potassium Channels,4,-1.134,1.706,0.756,-0.853,-1.265
PPAR Signaling,0.816,0,-1.387,-1.095,-1.177,1.807
PPARα/RXRα Activation,0.302,-0.447,-0.258,-1.067,-2.359,0.447
Prednisone ADME,0,0,0,1,0,0
Presynaptic depolarization and calcium channel opening,0,0,0,0,-0.447,0
Primary Immunodeficiency Signaling,0,0,0,0,0,0
Processing of Capped Intron-Containing Pre-mRNA,0,0,4.379,-4.565,1.313,0
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages,2.357,0,0.626,0.535,-0.438,-3
Prolactin Signaling,0.816,0,-0.905,3.157,2.646,-2.5
Prostanoid Biosynthesis,0,0,0,2,0,0
Prostate Cancer Signaling,0,0,0,0,0,0
Protein folding,2.121,0,1.508,1.3,0,-2.121
Protein Kinase A Signaling,2.449,-1,0,2.36,1.238,-1
Protein Sorting Signaling Pathway,2.121,0,0.728,3.394,2.48,-1.147
Protein Ubiquitination Pathway,0,0,0,0,0,0
PTEN Signaling,-3.606,0,0.243,-2.777,-1.581,2
Pulmonary Fibrosis Idiopathic Signaling Pathway,4.529,-1.604,5.815,1.818,0.198,-6.303
Pulmonary Healing Signaling Pathway,3.771,-0.378,5.096,2.673,0.267,-4.841
Purine Nucleotides Degradation II (Aerobic),2,0,0,-0.447,0,0
Purine Ribonucleosides Degradation to Ribose-1-phosphate,0,0,0,0,0,0
Pyridoxal 5'-phosphate Salvage Pathway,0,0,1,0.218,0,-1.89
Pyrimidine Ribonucleotides De Novo Biosynthesis,0,0,1.633,-0.277,-0.333,0
Pyrimidine Ribonucleotides Interconversion,0,0,1.342,0,-0.333,0
Pyroptosis,0,0,0,1.89,1,-2.236
Pyroptosis Signaling Pathway,3.162,0,-0.302,2.402,0,-2.84
RAB GEFs exchange GTP for GDP on RABs,2.449,0,0.632,1.177,0.87,0
RAB geranylgeranylation,2.646,0,1,1.46,2,-0.816
RAC Signaling,3.207,0,0,2.92,1.859,-2.065
RAF/MAP kinase cascade,2.6,-2.449,4.542,1.709,0.246,-3.78
RAN Signaling,0,0,0,1,2.646,0
RANK Signaling in Osteoclasts,1.134,0,1.155,1.043,1.671,-2.183
Rap1 signalling,0,0,0,0.707,0.333,0
RAR Activation,1.234,0.632,1.953,2.61,1.929,-0.762
Receptor-type tyrosine-protein phosphatases,0,0,0.333,0.816,0,0
Reelin Signaling in Neurons,3.051,0,0,1.896,0.324,-2.711
Regulation of Actin-based Motility by Rho,2.53,0,3.153,-0.186,-0.816,-2.714
Regulation of Cellular Mechanics by Calpain Protease,2,0,1.414,1.5,0.5,-1.134
Regulation of cholesterol biosynthesis by SREBP (SREBF),0,0,0,1.633,1.89,0
Regulation of eIF4 and p70S6K Signaling,2.449,0,-1.265,2.132,2.294,-0.905
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs,2,-2.449,3.53,0.667,-2.667,-2.683
Regulation of lipid metabolism by PPARalpha,0,0,0,1,2.646,-0.447
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway,1.291,-1.134,2.117,2.38,1.838,-3.651
Regulation of the Epithelial Mesenchymal Transition in Development Pathway,0,0,3.638,-0.229,-0.943,-3.464
Regulation of the Epithelial-Mesenchymal Transition Pathway,0,0,0,0,0,0
Regulation of TLR by endogenous ligand,0,0,-2,3.317,1.89,0
Regulation of TP53 Activity through Phosphorylation,0,0,2.121,0,2.711,-1.342
Relaxin Signaling,1.414,0,0.277,3.272,1.46,-1.387
Renal Cell Carcinoma Signaling,0.447,0,0,3.3,2.985,-0.632
Renin-Angiotensin Signaling,1.667,0,1.291,3,2.137,-2.828
Response to elevated platelet cytosolic Ca2+,4,-2.236,1.46,3.571,0,-2.132
RET signaling,1.342,0,0.447,0.243,-0.471,-2.449
Retinoid metabolism and transport,3,0,1,0.832,-1.732,-2.121
RHO GTPase cycle,5.857,0,3.732,1.971,1.058,-5.196
RHO GTPases activate CIT,0,0,0,0,-0.378,0
RHO GTPases Activate Formins,0.447,0,3.207,1.183,2.897,-4
RHO GTPases activate KTN1,0,0,0,0,-0.447,0
RHO GTPases Activate NADPH Oxidases,2.646,0,1,0.905,-2.449,-2.236
RHO GTPases activate PKNs,0,0,2,1,-0.302,0
RHO GTPases Activate Rhotekin and Rhophilins,0,0,0,-1.342,0,0
RHO GTPases Activate ROCKs,0,0,0,0,-0.378,0
RHO GTPases Activate WASPs and WAVEs,0,0,0,3.051,0.707,-2.236
RHOA Signaling,1.134,0,2.858,0.926,0.16,-1.291
RHOGDI Signaling,-3.153,0.447,-4.017,0,0.801,3.545
Ribonucleotide Reductase Signaling Pathway,1.265,0,2.558,1.234,1.508,-3.411
RNA polymerase II transcribes snRNA genes,0,0,2,-1.732,0.218,0
RNA Polymerase II Transcription,0,0,2.714,-1.809,1.177,0
ROBO SLIT Signaling Pathway,1,-1.342,-0.6,-1.333,-1.616,0.471
Role of BRCA1 in DNA Damage Response,0,0,1.342,-0.302,1.387,0
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway,0.832,-1.414,2.887,2.082,1.915,-3.128
Role of IL-17A in Arthritis,0,0,0,0,0,0
Role of IL-17A in Psoriasis,0,0,2.449,0,0,0
Role of IL-17F in Allergic Inflammatory Airway Diseases,0,0,2.449,1.414,0.905,-1
Role of JAK family kinases in IL-6-type Cytokine Signaling,0,0,2.837,-0.816,-0.229,-3.357
Role of JAK1 and JAK3 in γc Cytokine Signaling,0,0,0,0,0,0
Role of JAK2 in Hormone-like Cytokine Signaling,-1,0,0.5,1.606,1.147,-1
"Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis",0,0,0,0,0,0
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza,1.414,-2,2.111,1.706,0.894,-2.111
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza,1.414,0,3.051,0.73,0.557,-1.941
Role of MAPK Signaling in the Pathogenesis of Influenza,0,0,0,0,0,0
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency,2,0,-0.632,2.837,2.837,-1.732
Role of NFAT in Cardiac Hypertrophy,3,0,0.816,1.838,1.26,-3.024
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway,1.877,-2.121,1.852,-0.855,-0.944,-1.761
"Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis",0,0,0,0,0,0
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway,5.729,-1.265,4.061,2.157,-0.229,-5.25
Role of p14/p19ARF in Tumor Suppression,-2,0,1.342,-1.89,-1.265,1.342
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses,2.887,0,-1.155,4.004,1.961,-3.5
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza,0,0,-1.134,2.84,1.291,-0.905
Role of PKR in Interferon Induction and Antiviral Response,0,0,1.897,0.73,2.558,-2.183
Role of Tissue Factor in Cancer,2.711,-1.134,2.137,3.939,2.216,-3.202
RORA activates gene expression,0,0,0,0.447,0,0
rRNA processing,0,0,0,0,0,0
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),2,0,0,0,0,-1
S100 Family Signaling Pathway,8.119,-2.558,3.182,4.627,-0.08,-7.633
Salvage Pathways of Pyrimidine Ribonucleotides,2.449,-0.447,2.121,-0.186,-0.577,-2.111
Semaphorin interactions,2.714,0,0.816,1,-1.606,-3.207
Semaphorin Neuronal Repulsive Signaling Pathway,0.426,1.342,2.6,-1.286,-1.732,-0.816
Semaphorin Signaling in Neurons,0,0,0,0,0,0
Senescence Pathway,1.279,0.378,2.556,3.394,1.565,-1.715
Sensory processing of sound by inner hair cells of the cochlea,1,1.414,2.5,-1.3,-2.132,0
Sensory processing of sound by outer hair cells of the cochlea,0,1.414,2.138,-2.041,-1.941,0
Serine biosynthesis,0,0,0,1.342,0,0
Serotonin Receptor Signaling,5.126,-1.604,2.689,4.7,1.311,-5.25
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced),0.209,-1,0.149,1.254,1.068,-1.543
Sertoli Cell-Sertoli Cell Junction Signaling,2.449,-0.333,2.941,0.126,-0.122,-2.592
Signal amplification,2.236,0,-0.447,2.673,1.069,-1
Signal regulatory protein family interactions,0,0,0,2.236,1,-2.236
Signaling by Activin,0,0,0,0,0,1
Signaling by ALK,0,0,0.447,1.897,1.134,-2.449
Signaling by BMP,0,0,0,2.121,1.155,0
Signaling by CSF1 (M-CSF) in myeloid cells,2.236,0,-1,2.84,2.111,-2.121
Signaling by CSF3 (G-CSF),0,0,0,2.138,1.265,-2.236
Signaling by EGFR,0,0,0,1.508,2,0
Signaling by ERBB2,0,0,0.816,0.832,2.84,-1.342
Signaling by ERBB4,0,0,0.707,1.941,2.324,0
Signaling by Erythropoietin,0.447,0,0,2.333,2.111,-2.236
Signaling by FGFR1,0,0,1.134,2,2.5,0
Signaling by FGFR3,0,0,1.414,1.069,2.714,0
Signaling by FGFR4,0,0,0.816,1.604,2.496,0
Signaling by Hippo,0,0,0,2,1.89,0
Signaling by Leptin,0,0,0,1.633,1,0
Signaling by MET,3.051,-0.447,2.668,0.577,0.6,-3.051
Signaling by MST1,0,0,0,-2.236,0,0
Signaling by NOTCH1,2,0,2.309,-0.209,-0.392,-1.667
Signaling by NOTCH2,0,0,1.633,1.155,0,-2
Signaling by NOTCH3,2.236,0,2.828,-0.243,-1,-1.897
Signaling by NTRK1 (TRKA),0.816,0,1.414,1.8,0.853,-1.89
Signaling by NTRK2 (TRKB),0,0,0.447,1.134,2.333,0
Signaling by NTRK3 (TRKC),0,0,0,0.378,1.633,0
Signaling by PDGF,3.317,-2.236,2.53,1.091,1.414,-3.873
Signaling by Rho Family GTPases,3.545,-0.816,3.618,0.492,-0.775,-3.888
Signaling by SCF-KIT,0,0,0.447,2.837,1.698,-2.333
Signaling by TGF-beta Receptor Complex,2.828,-2,1.414,1.213,1.069,-1.89
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),0,0,0,1.633,2.121,0
Signaling by VEGF,4,0,2,2.16,-0.392,-3.207
Sirtuin Signaling Pathway,0,-0.333,0.192,1.807,0.944,0.302
Small Cell Lung Cancer Signaling,2.236,0,-0.816,0.728,1.5,-1.897
SNARE Signaling Pathway,2.53,0.707,3.578,0.343,-0.48,-1
Sperm Motility,3.606,0,3,1.265,0.707,-3.051
Spermidine Biosynthesis I,0,0,0,0,0,0
Sphingolipid metabolism,2,0,1,1.3,0.688,0
Sphingomyelin Metabolism,0,0,0,0,0,0
Sphingosine-1-phosphate Signaling,1.732,0,0.905,1.061,1,-1.342
SPINK1 General Cancer Pathway,2.887,-2.828,-1.291,2.683,2.683,-0.577
STAT3 Pathway,3,0,0.243,1.677,0.493,-1.886
Striated Muscle Contraction,0,0,3.873,0.577,-0.707,0
SUMOylation of DNA damage response and repair proteins,0,0,1,0,3.545,0
SUMOylation of DNA methylation proteins,0,0,0,-1.134,0,0
SUMOylation of immune response proteins,0,0,0,0,0,0
Sumoylation Pathway,-1.633,0,0,0.243,0.655,0
Superpathway of Cholesterol Biosynthesis,0,2,-2,-0.632,2.646,0
Superpathway of Citrulline Metabolism,0,0,0,0,0.816,0
"Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism",0,0,0,-1.134,0.707,0
Superpathway of Inositol Phosphate Compounds,2.309,0,3.402,0.258,1.387,-2.041
Superpathway of Melatonin Degradation,0,0,-1.633,1.886,1.134,1.667
Surfactant metabolism,2,0,1,0.816,0,-2
Synaptic Long Term Depression,3.638,-1,2,2.1,0.438,-1.789
Synaptic Long Term Potentiation,3.162,0,1.265,1.677,0.333,-1.732
Synaptogenesis Signaling Pathway,4.707,-2.714,2.722,2.982,-0.221,-4.11
Syndecan interactions,3,0,1.342,2.111,0,-1.89
TCR signaling,1.342,0,1.633,2.353,1.528,-3.3
Telomerase Signaling,2.449,0,-1,3.53,1.789,-1.604
TGF-β Signaling,0,0,1.134,1.886,2.6,0
Th1 and Th2 Activation Pathway,0,0,0,0,0,0
Th1 Pathway,3.153,0,0,4.012,0,-4.747
Th2 Pathway,2.065,0,0.426,1.443,-0.2,-2.414
The citric acid (TCA) cycle and respiratory electron transport,0,0,0,1.886,1.604,1.414
Thrombin Signaling,2.84,0,1.147,2.219,1.131,-2.646
Thrombin signalling through proteinase activated receptors (PARs),2,0,-1,2.496,0.333,0
Thrombopoietin Signaling,0.707,0,-0.333,3.838,2.985,-2.324
Thyroid Cancer Signaling,0.707,0,1.698,2.4,1,-1.604
Tight Junction Signaling,0,0,0,0,0,0
TNF signaling,0,0,2.236,-0.728,0.943,-0.447
TNFR1 Signaling,0,0,2,-1,-0.577,-2
TNFR2 Signaling,0,0,2,-0.816,0,-2.236
TNFs bind their physiological receptors,0,0,2.236,0.632,0.378,-2.646
Toll Like Receptor 3 (TLR3) Cascade,0,0,0,1.414,2.496,0
Toll-like Receptor Cascades,2.828,0,-2.646,3.5,1.897,-2
Toll-like Receptor Signaling,0,0,0,2.183,1.604,-2
TP53 Regulates Transcription of Cell Death Genes,2,0,1.633,0.302,0.832,0
TR/RXR Activation,2.333,0,1.043,1.257,1.183,-2.324
Trafficking and processing of endosomal TLR,2,0,0,1.633,0,0
Transcription from mitochondrial promoters,0,0,0,0,0,0
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,0,0,1,1.732,2.138,-2
Transcriptional regulation by RUNX2,0,0,1.89,1.069,0.302,-2.333
Transcriptional regulation of granulopoiesis,0,0,2.236,-0.707,-0.632,-1.414
Transcriptional regulation of testis differentiation,0,0,2,0,0,0
Transcriptional regulation of white adipocyte differentiation,0.816,0,0.905,0,1.633,0
Transcriptional Regulatory Network in Embryonic Stem Cells,2.828,0,1.569,1.677,1.732,-1.8
trans-Golgi Network Vesicle Budding,-1,0,0.378,1.8,2.183,0
Translocation of SLC2A4 (GLUT4) to the plasma membrane,0,1,0,3.153,1.606,-1
Transport of inorganic cations/anions and amino acids/oligopeptides,3.162,-1,1.886,1.414,0.928,-2.5
"Transport of vitamins, nucleosides, and related molecules",0,0,1,-0.632,-0.577,0
Trehalose Degradation II (Trehalase),1,0,0,0,0,0
TREM1 Signaling,3.051,0,0,4.707,0.775,-4.359
Triacylglycerol Biosynthesis,0,0,1.508,0.258,0.277,-0.707
Triglyceride metabolism,0,0,1,2.309,1.265,0
tRNA Splicing,1.89,0,0.447,1.5,2.5,0
Tumor Microenvironment Pathway,3.657,-2.53,3.703,2.885,0.885,-4
Tumoricidal Function of Hepatic Natural Killer Cells,0,0,0,0,0,0
TWEAK Signaling,0,0,0,-0.632,-1.265,-0.447
Type II Diabetes Mellitus Signaling,2.121,0,-1.265,1.8,0.853,-3.3
UDP-D-xylose and UDP-D-glucuronate Biosynthesis,0,0,0,0,0,0
UDP-N-acetyl-D-galactosamine Biosynthesis II,1,0,0,0,1,0
UVA-Induced MAPK Signaling,2.236,0,0,2.4,1.633,-2.111
UVB-Induced MAPK Signaling,0.816,0,0,2.065,2.668,-1.897
UVC-Induced MAPK Signaling,0,0,2.236,1.291,1.069,-1.667
Valine Degradation I,0,0,-1.342,1.633,1.342,2.449
Vasopressin regulates renal water homeostasis via Aquaporins,0,0,1,2.324,0.632,-2
VDR/RXR Activation,0,0,-0.447,1.155,-0.707,0
VEGF Family Ligand-Receptor Interactions,2.714,0,1.213,2.887,1.347,-2.668
VEGF Signaling,2.121,0,1.213,2.502,1.4,-1.941
Virus Entry via Endocytic Pathways,0,0,0,0,0,0
White Adipose Tissue Browning Pathway,2.121,-1,2.138,0.469,0.174,-0.832
WNK Renal Signaling Pathway,1.134,0,0.775,2.353,2.683,-1.155
WNT ligand biogenesis and trafficking,0,0,2.449,1.633,1.342,-2
WNT/Ca+ pathway,1.342,0,2.236,-0.832,-0.688,-2.449
WNT/β-catenin Signaling,0.707,0,0.577,-0.169,-0.16,-0.426
Wound Healing Signaling Pathway,2.959,-1.387,4.18,0.593,0.126,-4.041
XBP1(S) activates chaperone genes,0,0,2,-1.387,-1.069,0
Xenobiotic Metabolism AHR Signaling Pathway,0,0,-0.333,1.698,0.775,-0.632
Xenobiotic Metabolism CAR Signaling Pathway,2.496,0.447,-0.243,1.286,1.347,0.209
Xenobiotic Metabolism General Signaling Pathway,3,0,1.147,1.18,1.183,-1.606
Xenobiotic Metabolism PXR Signaling Pathway,1.604,0,-0.229,1.192,1.461,0.229
Xenobiotic Metabolism Signaling,0,0,0,0,0,0
YAP1- and WWTR1 (TAZ)-stimulated gene expression,0,0,0,1.342,0.816,0
Zymosterol Biosynthesis,0,0,0,0,0,0
α-Adrenergic Signaling,0,0,1.414,2.294,1.807,-1.265
β-alanine Degradation I,0,0,0,0,0,0
γ-glutamyl Cycle,0,0,0,-0.816,-0.378,0
